                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4371,                 1.0127,                 1.2859,                0.08311,                0.11111,                0.02451,                0.00795,                 2.8756,                 5.7628,                 2.3281,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3854,                 1.0132,                  1.271,                0.03401,                0.07407,                 0.0078,                0.00334,                 3.4576,                 4.6405,                 3.0756,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3402,                 1.0531,                 1.2458,                0.03401,                0.07407,                 0.0078,                0.00334,                 4.8052,                 7.7807,                 3.9716,               0.001307,               0.001307,               0.001307
                     38,                 1.4528,                 1.0487,                  1.286,                0.04651,                 0.2963,                0.04426,                0.01745,                 3.0071,                 5.1591,                 2.3208,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3756,                 1.0063,                  1.293,                0.40411,                0.55556,                0.31392,                0.12816,                 2.0622,                 2.1169,                 1.8986,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2936,                 1.0853,                 1.2722,                0.38452,                0.59259,                0.31515,                0.15763,                 2.0156,                  2.034,                 2.0613,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3703,                0.99544,                 1.2806,                0.39427,                0.51852,                0.36374,                0.18561,                 1.8573,                 1.9184,                 1.9166,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2997,                  1.038,                 1.2571,                0.31975,                0.51852,                0.29612,                0.18038,                 2.0428,                 2.1404,                 1.9941,               0.001208,               0.001208,               0.001208
                     43,                 1.2287,                0.94289,                 1.2111,                0.44456,                0.51852,                0.36352,                0.18974,                 2.1385,                 2.0231,                 2.0266,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2551,                0.87412,                 1.1982,                0.32147,                0.55556,                0.31416,                0.15286,                  2.227,                 2.3152,                 2.0464,              0.0011684,              0.0011684,              0.0011684
